real complex
[0.000641 -0.006439]
[0.000671 -0.006592]
[0.000763 -0.006500]
[0.000610 -0.006500]
[0.000671 -0.006683]
[0.000732 -0.006592]
[0.000610 -0.006622]
[0.000732 -0.006561]
[0.000854 -0.006683]
[0.000916 -0.006622]
[0.000824 -0.006744]
[0.000732 -0.006592]
[0.000610 -0.006531]
[0.000641 -0.006561]
[0.000824 -0.006592]
[0.000763 -0.006470]
[0.000793 -0.006531]
[0.000854 -0.006592]
[0.000793 -0.006592]
[0.000793 -0.006653]
[0.000793 -0.006561]
[0.000763 -0.006439]
[0.000702 -0.006592]
[0.000763 -0.006531]
[0.000732 -0.006622]
[0.000671 -0.006622]
[0.000824 -0.006470]
[0.000580 -0.006531]
[0.000824 -0.006439]
[0.000702 -0.006439]
[0.000732 -0.006470]
[0.000793 -0.006561]
[0.000763 -0.006592]
[0.000885 -0.006622]
[0.000580 -0.006653]
[0.000641 -0.006592]
[0.000671 -0.006592]
[0.000763 -0.006500]
[0.000702 -0.006683]
[0.000854 -0.006683]
[0.000671 -0.006439]
[0.000641 -0.006622]
[0.000702 -0.006592]
[0.000702 -0.006592]
[0.000793 -0.006683]
[0.000641 -0.006561]
[0.000763 -0.006592]
[0.000763 -0.006561]
[0.000824 -0.006500]
[0.000702 -0.006561]
[0.000854 -0.006531]
[0.000854 -0.006561]
[0.000854 -0.006683]
[0.000946 -0.006531]
[0.000885 -0.006775]
[0.000793 -0.006622]
[0.000671 -0.006653]
[0.000763 -0.006683]
[0.000763 -0.006470]
[0.000793 -0.006744]
[0.000763 -0.006653]
[0.000732 -0.006531]
[0.000763 -0.006592]
[0.000732 -0.006592]
[0.000671 -0.006500]
[0.000885 -0.006592]
[0.000793 -0.006561]
[0.000885 -0.006622]
[0.000854 -0.006775]
[0.000824 -0.006622]
[0.000732 -0.006561]
[0.000824 -0.006622]
[0.000732 -0.006622]
[0.000702 -0.006531]
[0.000793 -0.006592]
[0.000763 -0.006561]
[0.000793 -0.006653]
[0.000824 -0.006592]
[0.000793 -0.006470]
[0.000732 -0.006653]
[0.000793 -0.006561]
[0.000549 -0.006744]
[0.000793 -0.006561]
[0.000824 -0.006409]
[0.000702 -0.006653]
[0.000641 -0.006470]
[0.000732 -0.006592]
[0.000671 -0.006653]
[0.000793 -0.006683]
[0.000824 -0.006653]
[0.000885 -0.006409]
[0.000702 -0.006622]
[0.000763 -0.006622]
[0.000763 -0.006683]
[0.000641 -0.006622]
[0.001038 -0.006531]
[0.000824 -0.006622]
[0.000824 -0.006561]
[0.000763 -0.006653]
[0.000854 -0.006470]
[0.000763 -0.006531]
[0.000916 -0.006561]
[0.000854 -0.006561]
[0.000824 -0.006592]
[0.000793 -0.006653]
[0.000793 -0.006622]
[0.000946 -0.006531]
[0.000854 -0.006683]
[0.000824 -0.006561]
[0.000916 -0.006622]
[0.000977 -0.006592]
[0.000885 -0.006470]
[0.000824 -0.006592]
[0.000885 -0.006592]
[0.000946 -0.006409]
[0.000824 -0.006531]
[0.000854 -0.006531]
[0.000885 -0.006561]
[0.000824 -0.006653]
[0.000916 -0.006592]
[0.000824 -0.006592]
[0.000854 -0.006561]
[0.000885 -0.006592]
[0.000977 -0.006561]
[0.001038 -0.006561]
[0.000916 -0.006561]
[0.000916 -0.006378]
[0.001068 -0.006561]
[0.000977 -0.006470]
[0.000916 -0.006561]
[0.000854 -0.006653]
[0.000824 -0.006561]
[0.000854 -0.006622]
[0.000793 -0.006409]
[0.000977 -0.006622]
[0.000885 -0.006592]
[0.000916 -0.006500]
[0.001007 -0.006622]
[0.000885 -0.006744]
[0.000885 -0.006622]
[0.001099 -0.006622]
[0.001068 -0.006592]
[0.000885 -0.006531]
[0.000732 -0.006714]
[0.000946 -0.006775]
[0.000854 -0.006683]
[0.000916 -0.006470]
[0.000885 -0.006622]
[0.001007 -0.006561]
[0.001068 -0.006683]
[0.000946 -0.006744]
[0.000885 -0.006531]
[0.001068 -0.006561]
[0.000916 -0.006561]
[0.001068 -0.006622]
[0.000977 -0.006531]
[0.001099 -0.006592]
[0.000977 -0.006653]
[0.000946 -0.006439]
[0.000946 -0.006561]
[0.000946 -0.006561]
[0.000916 -0.006592]
[0.001068 -0.006561]
[0.001007 -0.006622]
[0.000916 -0.006653]
[0.001007 -0.006622]
[0.000885 -0.006622]
[0.001007 -0.006653]
[0.000977 -0.006683]
[0.001068 -0.006592]
[0.000946 -0.006622]
[0.000916 -0.006653]
[0.001038 -0.006622]
[0.000977 -0.006714]
[0.000977 -0.006622]
[0.000916 -0.006500]
[0.000885 -0.006683]
[0.000946 -0.006622]
[0.001007 -0.006592]
[0.000916 -0.006744]
[0.000977 -0.006653]
[0.001068 -0.006592]
[0.000977 -0.006500]
[0.000854 -0.006561]
[0.000916 -0.006531]
[0.000977 -0.006500]
[0.001007 -0.006561]
[0.001160 -0.006531]
[0.001038 -0.006531]
[0.001007 -0.006622]
[0.000977 -0.006561]
[0.001038 -0.006775]
[0.001129 -0.006714]
[0.001068 -0.006683]
[0.000946 -0.006592]
[0.001068 -0.006531]
[0.001099 -0.006592]
[0.001068 -0.006592]
[0.001038 -0.006653]
